Key;English;French;Spanish;German
11;With a little old driver, so lively and quick, \Pau=4000\ I knew in a moment it must be St Nick.;Conduits par un vieux bonhomme si gai et si vif, \Pau=4000\ Que je devinais aussitôt que c'était le père Noël.;Con un pequeño conductor viejo, tan vivo y rápido, \Pau=4,000\ Supe en un momento que debe ser Santa Claus.;Auf dem Bock saß ein Kutscher, so alt und so klein, daß ich wußte, das kann nur der Nikolaus sein!
12;More rapid than eagles, his coursers they came, \Pau=1000\ And he whistled, and shouted, and called them by name.;Plus rapides que les aigles, \Pau=300\ ses coursiers galopaient, \Pau=1000\ Et lui il sifflait, il criait, il les appelaient.;Más rápido que las águilas, sus corceles vinieron, \Pau=1,000\ Y el silbó y gritó, y los llamó por su nombre.;Die Renntiere kamen daher wie der Wind, und der Alte, der pfiff, und er rief laut: Geschwind!
13;Now Dasher! Now Dancer! Now Prancer and Vixen! On Comet! On Cupid! On Donder and Blitzen! To the top of the porch! To the top of the wall! Now dash away! Dash away! Dash away all!;Allons Fougueux! Allons Danseur! Allons Fringant et Renarde! En avant Comète! En avant Cupidon! En avant Tonnerre et Eclair! Au dessus du porche, par delà le mur! Allons, au galop, plus vite encore !;Ahora Dasher! Ahora Dancer! Ahora Prancer y Vixen! Vamos Cometa! Vamos Cupido! Vamos Donder y Blitzen! A la parte superior de la terraza! A la parte superior de la pared! Ahora echen a correr! Echen a correr! Todos echen a correr!;Renn, Renner! Tanz, Tänzer! Flieg, fliegende Hitz'! Hui, Sternschnupp'! Hui, Liebling! Hui, Donner und Blitz! Die Veranda hinauf und die Hauswand hinan! Immer fort mit euch! Fort mit euch! Hui, mein Gespann!
14;As dry leaves that before the wild hurricane fly, \Pau=500\ when they meet with an obstacle, mount to the sky.;Comme les feuilles mortes qui,\Pau=500\ chassées par l'ouragan, \Pau=800\ devant un obstacle, montent jusqu'au ciel.;Como hojas secas que vuelan antes del huracán salvaje, \Pau=500\ cuando se encuentran con un obstáculo, se montan en el cielo.;Wie das Laub, das der Herbststurm die Straßen lang fegt und, steht was im Weg, in den Himmel hoch trägt,
15;So, up to the house-top the coursers they flew, \Pau=500\ With the sleigh full of toys, and St Nicholas too.;Ainsi, au dessus du toit, volèrent les coursiers, \Pau=500\ tirant un traîneau plein de jouets, et le père Noël.;Así, hasta el terrado los corceles volaron, \Pau=500\ Con el trineo lleno de juguetes y San Nicolás también.;so trug es den Schlitten hin auf unser Haus samt dem Spielzeug und samt dem Sankt Nikolaus!
16;And then, in a twinkling, I heard on the roof, the prancing and pawing of each little hoof.;Et, en un clin d'oeil, j'entendis sur les toits, caracoler les petits sabots.;Y luego, en un abrir y cerrar de ojos, oí en el techo, el salto y sonido de cada pequeño casco.;Kaum war das geschehen, vernahm ich schon schwach das Stampfen der zierlichen Hufe vom Dach.
17;As I drew in my hand, and was turning around, \Pau=500\ Down the chimney St Nicholas came with a bound.;Tandis que je me retournais, \Pau=500\ le père Noël descendit d'un bond par la cheminée.;Como dibujé en mi mano, y dando vueltas alrededor, \Pau=500\ por la chimenea de San Nicolás llegó de un salto.;Dann wollt' ich die Fensterläden zuzieh'n, da plumpste der Nikolaus in den Kamin!
18;He was dressed all in fur, from his head to his foot, \Pau=1000\ And his clothes were all tarnished with ashes and soot.;Il était vêtu de fourrures, de la tête au pied, \Pau=1000\ Ses habits étaient souillés \Pau=10\ de cendres et de suie.;Él estaba vestido todo de piel, desde su cabeza hasta sus pies, \Pau=1,000\ Y su ropa estaba toda manchada de cenizas y hollín.;Sein Rock war aus Pelzwerk, vom Kopf bis zum Fuß. Jetzt klebte er freilich voll Asche und Ruß.
19;A bundle of toys he had flung on his back, \Pau=500\ And he looked like a peddler just opening his pack.;Sur son dos, il avait jeté un sac plein de jouets, \Pau=1000\ On eût dit un colporteur prêt à ouvrir son ballot.;Un paquete de juguetes que él había echado sobre su espalda, \Pau=500\ Y el se veía como un vendedor ambulante con sólo abrir su mochila.;Sein Bündel trug Nikolaus huckepack, so wie die Hausierer bei uns ihren Sack.
20;His eyes how they twinkled! His dimples how merry! \Pau=500\ His cheeks were like roses, his nose like a cherry!;Comme ses yeux pétillaient! Comme ses fossettes riaient! \Pau=500\ Ses joues étaient des roses, son nez une cerise!;Cómo brillaron sus ojos! Sus hoyuelos tan felices! \Pau=500\ Sus mejillas eran como las rosas, su nariz como una cereza!;Zwei Grübchen, wie lustig! Wie blitzte sein Blick! Die Bäckchen zartrosa, die Nas' rot und dick!
21;His droll little mouth was drawn up like a bow, \Pau=500\ And the beard of his chin was as white as the snow.;Sa drôle de petite bouche était tendue comme un arc, \Pau=500\ Et la barbe de son menton blanche comme neige.;Su pequeña boca graciosa se dibujaba como un arco, \Pau=500\ Y la barba de su barbilla era tan blanca como la nieve.;Der Bart war schneeweiß, und der drollige Mund sah aus wie gemalt, so klein und halbrund.
22;The stump of a pipe he held tight in his teeth, \Pau=500\ And the smoke it encircled his head like a wreath.;Il serrait entre ses dents \Pau=100\ un tuyau de pipe, \Pau=500\ Et la fumée dessinait une couronne autour de sa tête.;El muñón de un tubo que mantuvo apretada entre sus dientes, \Pau=500\ Y el humo que rodeaba su cabeza como una corona de flores.;Im Munde, da qualmte ein Pfeifenkopf, und der Rauch, der umwand wie ein Kranz seinen Schopf.
23;He had a broad face and a little round belly that shook when he laughed like a bowlful of jelly.;Il avait un visage rond et un petit ventre dodu, qui s'agitait quand il riait, comme un bol plein de flan.;Tenía una cara ancha y una pequeña barriga redonda que sacudió cuando él se echó a reír como un tazon lleno de gelatina.;
24;He was chubby and plump, a right jolly old elf, \Pau=500\ And I laughed when I saw him, in spite of myself.;Joufflu et dodu, c'était un joyeux lutin, \Pau=500\ Et je ne pus m'empêcher de rire en le voyant.;Era gordito y rechoncho, un viejo duende alegre, \Pau=500\ Y yo me reí cuando lo vi, a pesar de mí mismo.;Ich lachte hell, wie er so vor mir stand, ein rundlicher Zwerg aus dem Elfenland.
25;A wink of his eye and a twist of his head, \Pau=500\ Soon gave me to know I had nothing to dread.;Un clin d'oeil, et un mouvement de tête, \Pau=500\ Me firent vite comprendre que je n'avais rien à craindre.;Un guiño de su ojo y una movida de su cabeza, \Pau=500\ Pronto me dio a conocer que no tenía nada que temer.;Er schaute mich an und schnitt ein Gesicht, als wollte er sagen: Nun, fürchte dich nicht!
26;He spoke not a word, but went straight to his work, \Pau=500\ And filled all the stockings, then turned with a jerk.;Sans un mot, il se mit bientôt à l'ouvrage, \Pau=800\ Il remplit toutes les chaussettes, \Pau=300\ puis il se détourna d'un coup.;Él no habló ni una palabra, pero fue directamente a su trabajo, \Pau=500\ Y lleno todas las medias y luego se volvió con una sacudida.;Das Spielzeug stopfte er, eifrig und stumm, in die Strümpfe, war fertig, drehte sich um,
27;And laying his finger aside of his nose, \Pau=500\ And giving a nod, up the chimney he rose.;Et, se frottant le nez, \Pau=500\ Il inclina la tête et repartit par la cheminée.;Y poniendo su dedo a un lado de su nariz, \Pau=500\ Y dando un movimiento de cabeza, se levantó encima de la chimenea.;hob den Finger zur Nase, nickte mir zu, kroch in den Kamin und war fort im Nu!
28;He sprang to his sleigh, to his team gave a whistle, \Pau=1000\ And away they all flew like the down of a thistle.;Il se précipita vers son traîneau, siffla son attelage, \Pau=1000\ Et ils s'envolèrent, légers comme des plumes.;Se subió a su trineo, y a su equipo le dio un silbido, \Pau=1,000\ Y lejos todos volaron.;In den Schlitten sprang er und pfiff dem Gespann, da flogen sie schon über Tal und Tann.
29;But I heard him exclaim, ere he drove out of sight,;Mais je l'entendis s'écrier, avant qu'il ne disparaisse,;Pero le oí exclamar, antes que conduciera fuera de vista,;Doch ich hört' ihn noch rufen, von fern klang es sacht: Frohe Weihnachten allen, und allen gut' Nacht!
30;Ouch, I should train again for this one./ Sorry, I slipped. / I was too tense today, sorry.;Je devrais m'entraîner un peu plus pour celle-ci./ Désolé, j'ai glissé. / J'étais un peu trop tendu aujourd'hui, désolé.;Ouch, debo entrenar de nuevo para éste. / Lo siento, me resbalé. / Estaba demasiado tenso hoy, lo siento.;Autsch, das sollte ich wohl nochmal üben / Tut mir leid, ich bin ausgerutscht / Ich bin wohl heute ein bisschen zu verspannt
